Wave function, E=  10.000 entrance channel= 1
 Internal wave functions
   0.019  1.5259E-26  1.2690E-26
   0.100 -1.1933E-25 -9.9194E-26
   0.243  3.5862E-25  2.9794E-25
   0.441 -7.5478E-25 -6.2691E-25
   0.686  1.3174E-24  1.0947E-24
   0.969 -2.0489E-24 -1.7052E-24
   1.278  2.9091E-24  2.3805E-24
   1.600 -8.4728E-24 -1.2833E-23
   1.922 -2.3230E-22 -4.6719E-22
   2.231 -5.8323E-21 -1.0812E-20
   2.514 -7.3650E-20 -1.2740E-19
   2.759 -5.1950E-19 -8.4101E-19
   2.957 -2.1760E-18 -3.3268E-18
   3.100 -5.6820E-18 -8.3185E-18
   3.181 -9.5763E-18 -1.3666E-17
   3.219 -1.2179E-17 -1.7187E-17
   3.300 -2.0052E-17 -2.7503E-17
   3.443 -4.6155E-17 -6.0408E-17
   3.641 -1.3637E-16 -1.6622E-16
   3.886 -4.6509E-16 -5.1588E-16
   4.169 -1.6514E-15 -1.6243E-15
   4.478 -5.5712E-15 -4.7200E-15
   4.800 -1.6615E-14 -1.1702E-14
   5.122 -4.1675E-14 -2.3258E-14
   5.431 -8.5565E-14 -3.5130E-14
   5.714 -1.4308E-13 -3.7618E-14
   5.959 -1.9789E-13 -2.3116E-14
   6.157 -2.3422E-13  5.4019E-15
   6.300 -2.4906E-13  3.6039E-14
   6.381 -2.5129E-13  5.6870E-14
   6.419 -2.5048E-13  6.7441E-14
   6.500 -2.4443E-13  9.0915E-14
   6.643 -2.1825E-13  1.3394E-13
   6.841 -1.4740E-13  1.8914E-13
   7.086 -1.1657E-14  2.2866E-13
   7.369  1.7351E-13  2.0376E-13
   7.678  3.3965E-13  7.8806E-14
   8.000  4.1229E-13 -1.2673E-13
   8.322  3.8488E-13 -3.6271E-13
   8.631  3.1325E-13 -6.2372E-13
   8.914  2.4883E-13 -9.7016E-13
   9.159  2.0894E-13 -1.4765E-12
   9.357  1.8997E-13 -2.1543E-12
   9.500  1.8334E-13 -2.8857E-12
   9.581  1.8200E-13 -3.4310E-12
   9.619  1.8194E-13 -3.7295E-12
   9.700  1.8302E-13 -4.4605E-12
   9.843  1.8859E-13 -6.1557E-12
  10.041  2.0354E-13 -9.7492E-12
  10.286  2.3275E-13 -1.7439E-11
  10.569  2.8009E-13 -3.4280E-11
  10.878  3.4777E-13 -7.1506E-11
  11.200  4.3540E-13 -1.5246E-10
  11.522  5.3881E-13 -3.2064E-10
  11.831  6.4940E-13 -6.4444E-10
  12.114  7.5503E-13 -1.2053E-09
  12.359  8.4313E-13 -2.0531E-09
  12.557  9.0529E-13 -3.1325E-09
  12.700  9.4083E-13 -4.2283E-09
  12.781  9.5612E-13 -5.0086E-09
  12.819  9.6181E-13 -5.4248E-09
  12.900  9.7001E-13 -6.4158E-09
  13.043  9.6914E-13 -8.5923E-09
  13.241  9.2422E-13 -1.2827E-08
  13.486  7.6359E-13 -2.0899E-08
  13.769  3.4924E-13 -3.6269E-08
  14.078 -5.6959E-13 -6.5302E-08
  14.400 -2.4135E-12 -1.1883E-07
  14.722 -5.8087E-12 -2.1313E-07
  15.031 -1.1525E-11 -3.6840E-07
  15.314 -2.0208E-11 -6.0169E-07
  15.559 -3.1875E-11 -9.1342E-07
  15.757 -4.5340E-11 -1.2722E-06
  15.900 -5.8029E-11 -1.6099E-06
  15.981 -6.6638E-11 -1.8388E-06
 External wave functions
  15.981  5.8208E-11 -1.8388E-06
  16.181  5.8208E-11 -2.5435E-06
  16.381  2.9104E-11 -3.4784E-06
  16.581  2.9104E-11 -4.7663E-06
  16.781  2.9104E-11 -6.5013E-06
  16.981  1.4552E-11 -8.8283E-06
  17.181  1.4552E-11 -1.1935E-05
  17.381  7.2760E-12 -1.6066E-05
  17.581  7.2760E-12 -2.1534E-05
  17.781  7.2760E-12 -2.8741E-05
  17.981  3.6380E-12 -3.8201E-05
  18.181  3.6380E-12 -5.0566E-05
Wave function, E=  20.000 entrance channel= 1
 Internal wave functions
   0.019 -3.8734E-19  5.1144E-19
   0.100  3.0263E-18 -3.9997E-18
   0.243 -9.0829E-18  1.2022E-17
   0.441  1.9096E-17 -2.5312E-17
   0.686 -3.3327E-17  4.4219E-17
   0.969  5.1925E-17 -6.8864E-17
   1.278 -7.0478E-17  9.8378E-17
   1.600  6.4527E-16 -2.3549E-16
   1.922  2.6371E-14 -5.4436E-15
   2.231  5.9562E-13 -1.4408E-13
   2.514  6.8738E-12 -1.8810E-12
   2.759  4.4457E-11 -1.3591E-11
   2.957  1.7271E-10 -5.7817E-11
   3.100  4.2588E-10 -1.5232E-10
   3.181  6.9391E-10 -2.5778E-10
   3.219  8.6941E-10 -3.2859E-10
   3.300  1.3786E-09 -5.4222E-10
   3.443  2.9816E-09 -1.2538E-09
   3.641  8.0139E-09 -3.7112E-09
   3.886  2.4110E-08 -1.2614E-08
   4.169  7.2994E-08 -4.4235E-08
   4.478  2.0238E-07 -1.4557E-07
   4.800  4.7563E-07 -4.1714E-07
   5.122  8.9284E-07 -9.8835E-07
   5.431  1.2778E-06 -1.8822E-06
   5.714  1.3258E-06 -2.8652E-06
   5.959  8.8356E-07 -3.5444E-06
   6.157  1.2957E-07 -3.7038E-06
   6.300 -5.9437E-07 -3.4816E-06
   6.381 -1.0454E-06 -3.2057E-06
   6.419 -1.2621E-06 -3.0356E-06
   6.500 -1.7137E-06 -2.5932E-06
   6.643 -2.4260E-06 -1.5611E-06
   6.841 -3.0327E-06  2.7901E-07
   7.086 -2.7816E-06  2.6941E-06
   7.369 -9.5289E-07  4.5571E-06
   7.678  2.1273E-06  4.3190E-06
   8.000  4.8599E-06  1.5621E-06
   8.322  5.9289E-06 -2.4793E-06
   8.631  5.5249E-06 -6.5225E-06
   8.914  4.5895E-06 -1.0475E-05
   9.159  3.7547E-06 -1.4898E-05
   9.357  3.1950E-06 -1.9979E-05
   9.500  2.8749E-06 -2.5014E-05
   9.581  2.7242E-06 -2.8592E-05
   9.619  2.6605E-06 -3.0503E-05
   9.700  2.5415E-06 -3.5070E-05
   9.843  2.3803E-06 -4.5187E-05
  10.041  2.2444E-06 -6.5202E-05
  10.286  2.1898E-06 -1.0429E-04
  10.569  2.2413E-06 -1.8082E-04
  10.878  2.3910E-06 -3.2940E-04
  11.200  2.6092E-06 -6.0947E-04
  11.522  2.8576E-06 -1.1099E-03
  11.831  3.1000E-06 -1.9371E-03
  12.114  3.3099E-06 -3.1736E-03
  12.359  3.4736E-06 -4.8060E-03
  12.557  3.5892E-06 -6.6557E-03
  12.700  3.6618E-06 -8.3698E-03
  12.781  3.6989E-06 -9.5184E-03
  12.819  3.7154E-06 -1.0111E-02
  12.900  3.7479E-06 -1.1475E-02
  13.043  3.7969E-06 -1.4283E-02
  13.241  3.8481E-06 -1.9226E-02
  13.486  3.8843E-06 -2.7475E-02
  13.769  3.8902E-06 -4.0826E-02
  14.078  3.8575E-06 -6.1731E-02
  14.400  3.7879E-06 -9.3068E-02
  14.722  3.6923E-06 -1.3742E-01
  15.031  3.5867E-06 -1.9583E-01
  15.314  3.4868E-06 -2.6645E-01
  15.559  3.4034E-06 -3.4359E-01
  15.757  3.3412E-06 -4.1813E-01
  15.900  3.3005E-06 -4.7924E-01
  15.981  3.2790E-06 -5.1700E-01
 External wave functions
  15.981  3.2794E-06 -5.1700E-01
  16.181  3.2618E-06 -6.1972E-01
  16.381  3.3203E-06 -7.3682E-01
  16.581  3.4465E-06 -8.6889E-01
  16.781  3.6330E-06 -1.0162E+00
  16.981  3.8733E-06 -1.1784E+00
  17.181  4.1606E-06 -1.3549E+00
  17.381  4.4876E-06 -1.5443E+00
  17.581  4.8462E-06 -1.7445E+00
  17.781  5.2272E-06 -1.9528E+00
  17.981  5.6200E-06 -2.1655E+00
  18.181  6.0125E-06 -2.3780E+00
Wave function, E=  30.000 entrance channel= 1
 Internal wave functions
   0.019 -1.8043E-15 -8.6092E-16
   0.100  1.4116E-14  6.7165E-15
   0.243 -4.2460E-14 -2.0110E-14
   0.441  8.9526E-14  4.2158E-14
   0.686 -1.5671E-13 -7.3374E-14
   0.969  2.4466E-13  1.1419E-13
   1.278 -3.6047E-13 -1.4095E-13
   1.600 -3.5571E-13  3.1345E-12
   1.922 -3.7103E-11  1.3978E-10
   2.231 -7.1314E-10  3.1006E-09
   2.514 -6.9908E-09  3.5222E-08
   2.759 -3.7548E-08  2.2424E-07
   2.957 -1.2025E-07  8.5902E-07
   3.100 -2.4887E-07  2.0954E-06
   3.181 -3.5995E-07  3.3921E-06
   3.219 -4.2305E-07  4.2365E-06
   3.300 -5.7881E-07  6.6722E-06
   3.443 -8.8532E-07  1.4250E-05
   3.641 -9.5732E-07  3.7590E-05
   3.886  2.7439E-06  1.1025E-04
   4.169  2.9431E-05  3.2307E-04
   4.478  1.5201E-04  8.6047E-04
   4.800  5.5484E-04  1.9279E-03
   5.122  1.4969E-03  3.4254E-03
   5.431  3.0132E-03  4.6126E-03
   5.714  4.5836E-03  4.4893E-03
   5.959  5.4052E-03  2.8187E-03
   6.157  5.1623E-03  4.3609E-04
   6.300  4.2963E-03 -1.5953E-03
   6.381  3.5281E-03 -2.7504E-03
   6.419  3.0978E-03 -3.2740E-03
   6.500  2.0614E-03 -4.2903E-03
   6.643 -8.5790E-05 -5.6169E-03
   6.841 -3.3039E-03 -6.0177E-03
   7.086 -6.3547E-03 -3.7381E-03
   7.369 -6.5864E-03  1.6623E-03
   7.678 -2.1676E-03  7.1915E-03
   8.000  4.8970E-03  8.3436E-03
   8.322  1.0295E-02  4.1180E-03
   8.631  1.2060E-02 -2.6165E-03
   8.914  1.1332E-02 -9.2229E-03
   9.159  9.8356E-03 -1.5009E-02
   9.357  8.5033E-03 -2.0077E-02
   9.500  7.5992E-03 -2.4244E-02
   9.581  7.1235E-03 -2.6913E-02
   9.619  6.9097E-03 -2.8270E-02
   9.700  6.4840E-03 -3.1363E-02
   9.843  5.8237E-03 -3.7686E-02
  10.041  5.0892E-03 -4.8910E-02
  10.286  4.4492E-03 -6.8181E-02
  10.569  4.0276E-03 -1.0070E-01
  10.878  3.8864E-03 -1.5393E-01
  11.200  4.0435E-03 -2.3679E-01
  11.522  4.4926E-03 -3.5701E-01
  11.831  5.2021E-03 -5.1672E-01
  12.114  6.1026E-03 -7.0826E-01
  12.359  7.0823E-03 -9.1298E-01
  12.557  8.0031E-03 -1.1048E+00
  12.700  8.7325E-03 -1.2572E+00
  12.781  9.1704E-03 -1.3489E+00
  12.819  9.3830E-03 -1.3936E+00
  12.900  9.8420E-03 -1.4902E+00
  13.043  1.0676E-02 -1.6669E+00
  13.241  1.1875E-02 -1.9238E+00
  13.486  1.3368E-02 -2.2504E+00
  13.769  1.4975E-02 -2.6152E+00
  14.078  1.6380E-02 -2.9592E+00
  14.400  1.7171E-02 -3.2012E+00
  14.722  1.6970E-02 -3.2617E+00
  15.031  1.5616E-02 -3.0983E+00
  15.314  1.3277E-02 -2.7318E+00
  15.559  1.0416E-02 -2.2434E+00
  15.757  7.6151E-03 -1.7437E+00
  15.900  5.3820E-03 -1.3347E+00
  15.981  4.0485E-03 -1.0866E+00
 External wave functions
  15.981  4.0485E-03 -1.0866E+00
  16.181  6.4369E-04 -4.4165E-01
  16.381 -2.7931E-03  2.2605E-01
  16.581 -6.0743E-03  8.8098E-01
  16.781 -9.0025E-03  1.4846E+00
  16.981 -1.1384E-02  1.9980E+00
  17.181 -1.3045E-02  2.3849E+00
  17.381 -1.3847E-02  2.6149E+00
  17.581 -1.3704E-02  2.6663E+00
  17.781 -1.2594E-02  2.5294E+00
  17.981 -1.0565E-02  2.2080E+00
  18.181 -7.7419E-03  1.7206E+00
Wave function, E=  40.000 entrance channel= 1
 Internal wave functions
   0.019  1.6533E-13 -2.5225E-13
   0.100 -1.2922E-12  1.9751E-12
   0.243  3.8818E-12 -5.9504E-12
   0.441 -8.1753E-12  1.2575E-11
   0.686  1.4307E-11 -2.2077E-11
   0.969 -2.2370E-11  3.4565E-11
   1.278  3.1669E-11 -5.3792E-11
   1.600 -1.4073E-10 -3.7823E-10
   1.922 -4.9579E-09 -2.0786E-08
   2.231 -1.1986E-07 -4.3873E-07
   2.514 -1.4585E-06 -4.7616E-06
   2.759 -9.8466E-06 -2.8964E-05
   2.957 -3.9486E-05 -1.0651E-04
   3.100 -9.9441E-05 -2.5163E-04
   3.181 -1.6386E-04 -3.9960E-04
   3.219 -2.0646E-04 -4.9418E-04
   3.300 -3.3052E-04 -7.6331E-04
   3.443 -7.2747E-04 -1.5688E-03
   3.641 -1.9949E-03 -3.9091E-03
   3.886 -6.1227E-03 -1.0584E-02
   4.169 -1.8816E-02 -2.7857E-02
   4.478 -5.2490E-02 -6.4323E-02
   4.800 -1.2265E-01 -1.1881E-01
   5.122 -2.2597E-01 -1.5978E-01
   5.431 -3.1394E-01 -1.3324E-01
   5.714 -3.1550E-01 -2.1959E-02
   5.959 -2.1016E-01  1.1862E-01
   6.157 -5.3824E-02  2.1630E-01
   6.300  8.0140E-02  2.5123E-01
   6.381  1.5596E-01  2.5173E-01
   6.419  1.9013E-01  2.4643E-01
   6.500  2.5583E-01  2.2314E-01
   6.643  3.3885E-01  1.4411E-01
   6.841  3.5495E-01 -2.5798E-02
   7.086  1.9336E-01 -2.4606E-01
   7.369 -1.4780E-01 -3.4189E-01
   7.678 -4.3367E-01 -1.4396E-01
   8.000 -3.8102E-01  2.4082E-01
   8.322 -1.1457E-02  4.9806E-01
   8.631  4.0764E-01  4.7760E-01
   8.914  6.9518E-01  2.7206E-01
   9.159  8.4228E-01  1.9762E-02
   9.357  9.0438E-01 -2.0192E-01
   9.500  9.2724E-01 -3.6414E-01
   9.581  9.3449E-01 -4.5672E-01
   9.619  9.3681E-01 -5.0060E-01
   9.700  9.3982E-01 -5.9334E-01
   9.843  9.4056E-01 -7.5684E-01
  10.041  9.3634E-01 -9.8701E-01
  10.286  9.2830E-01 -1.2801E+00
  10.569  9.1767E-01 -1.6292E+00
  10.878  8.9957E-01 -2.0123E+00
  11.200  8.6087E-01 -2.3792E+00
  11.522  7.8558E-01 -2.6541E+00
  11.831  6.6540E-01 -2.7620E+00
  12.114  5.0819E-01 -2.6698E+00
  12.359  3.3701E-01 -2.4109E+00
  12.557  1.8041E-01 -2.0735E+00
  12.700  6.1357E-02 -1.7621E+00
  12.781 -7.4774E-03 -1.5611E+00
  12.819 -4.0088E-02 -1.4605E+00
  12.900 -1.0857E-01 -1.2372E+00
  13.043 -2.2563E-01 -8.1515E-01
  13.241 -3.7460E-01 -1.8579E-01
  13.486 -5.2131E-01  6.0665E-01
  13.769 -6.1388E-01  1.4249E+00
  14.078 -5.9778E-01  2.0408E+00
  14.400 -4.4578E-01  2.2174E+00
  14.722 -1.8395E-01  1.8450E+00
  15.031  1.1296E-01  1.0312E+00
  15.314  3.6104E-01  4.9762E-02
  15.559  5.1206E-01 -8.1805E-01
  15.757  5.6905E-01 -1.4195E+00
  15.900  5.6864E-01 -1.7520E+00
  15.981  5.5245E-01 -1.8935E+00
 External wave functions
  15.981  5.5245E-01 -1.8935E+00
  16.181  4.6506E-01 -2.0710E+00
  16.381  3.1875E-01 -1.9858E+00
  16.581  1.3121E-01 -1.6433E+00
  16.781 -7.3610E-02 -1.0835E+00
  16.981 -2.6840E-01 -3.7761E-01
  17.181 -4.2617E-01  3.7994E-01
  17.381 -5.2414E-01  1.0839E+00
  17.581 -5.4735E-01  1.6331E+00
  17.781 -4.9120E-01  1.9453E+00
  17.981 -3.6275E-01  1.9709E+00
  18.181 -1.8012E-01  1.7019E+00
Wave function, E=  50.000 entrance channel= 1
 Internal wave functions
   0.019  1.5511E-12  8.3922E-13
   0.100 -1.2139E-11 -6.5626E-12
   0.243  3.6549E-11  1.9735E-11
   0.441 -7.7193E-11 -4.1634E-11
   0.686  1.3548E-10  7.3035E-11
   0.969 -2.1220E-10 -1.1451E-10
   1.278  3.2430E-10  1.6965E-10
   1.600  1.5487E-09  1.1379E-10
   1.922  9.0434E-08  1.3597E-08
   2.231  1.8720E-06  2.2144E-07
   2.514  1.9940E-05  1.7345E-06
   2.759  1.1905E-04  6.6515E-06
   2.957  4.3052E-04  1.2039E-05
   3.100  1.0040E-03  6.1750E-06
   3.181  1.5820E-03 -1.1029E-05
   3.219  1.9484E-03 -2.6734E-05
   3.300  2.9865E-03 -8.0637E-05
   3.443  6.0427E-03 -3.2277E-04
   3.641  1.4717E-02 -1.3644E-03
   3.886  3.8602E-02 -5.7348E-03
   4.169  9.7455E-02 -2.1933E-02
   4.478  2.1327E-01 -7.0577E-02
   4.800  3.6768E-01 -1.7845E-01
   5.122  4.5075E-01 -3.3559E-01
   5.431  3.2228E-01 -4.4684E-01
   5.714 -5.2884E-03 -3.9015E-01
   5.959 -3.3372E-01 -1.6105E-01
   6.157 -4.9430E-01  1.1216E-01
   6.300 -4.9570E-01  3.0952E-01
   6.381 -4.4629E-01  4.0433E-01
   6.419 -4.1034E-01  4.4187E-01
   6.500 -3.1016E-01  5.0117E-01
   6.643 -7.1720E-02  5.2558E-01
   6.841  3.0244E-01  3.6948E-01
   7.086  5.9696E-01 -6.1478E-02
   7.369  4.3091E-01 -5.5308E-01
   7.678 -2.2928E-01 -5.9295E-01
   8.000 -7.5857E-01 -5.4023E-03
   8.322 -6.0133E-01  6.8690E-01
   8.631  5.2908E-02  9.3186E-01
   8.914  7.0585E-01  7.0621E-01
   9.159  1.1099E+00  2.7701E-01
   9.357  1.2786E+00 -1.3642E-01
   9.500  1.3128E+00 -4.3695E-01
   9.581  1.3018E+00 -6.0215E-01
   9.619  1.2894E+00 -6.7796E-01
   9.700  1.2488E+00 -8.3172E-01
   9.843  1.1342E+00 -1.0763E+00
  10.041  8.9696E-01 -1.3491E+00
