Wave function, E=   0.100 entrance channel= 1
 Internal wave functions
   0.072  1.1136E-02  4.1332E-02
   0.376  4.5883E-02  1.7030E-01
   0.911  7.4654E-02  2.7709E-01
   1.653  8.0609E-02  2.9919E-01
   2.574  6.7175E-02  2.4933E-01
   3.635  4.3143E-02  1.6013E-01
   4.793  1.4302E-02  5.3085E-02
   6.000 -1.6395E-02 -6.0853E-02
   7.207 -4.7149E-02 -1.7500E-01
   8.365 -7.6509E-02 -2.8397E-01
   9.426 -1.0320E-01 -3.8305E-01
  10.347 -1.2614E-01 -4.6820E-01
  11.089 -1.4447E-01 -5.3621E-01
  11.624 -1.5753E-01 -5.8470E-01
  11.928 -1.6492E-01 -6.1214E-01
 External wave functions
  11.928 -1.6492E-01 -6.1214E-01
  12.128 -1.6976E-01 -6.3009E-01
  12.328 -1.7458E-01 -6.4799E-01
  12.528 -1.7939E-01 -6.6583E-01
  12.728 -1.8418E-01 -6.8360E-01
  12.928 -1.8895E-01 -7.0130E-01
  13.128 -1.9370E-01 -7.1894E-01
  13.328 -1.9843E-01 -7.3650E-01
  13.528 -2.0314E-01 -7.5400E-01
  13.728 -2.0784E-01 -7.7142E-01
  13.928 -2.1251E-01 -7.8877E-01
  14.128 -2.1717E-01 -8.0605E-01
Wave function, E=  10.000 entrance channel= 1
 Internal wave functions
   0.072  1.9384E-01 -1.4798E-02
   0.376  8.0481E-01 -6.1439E-02
   0.911  1.2988E+00 -9.9147E-02
   1.653  1.2793E+00 -9.7659E-02
   2.574  6.8988E-01 -5.2665E-02
   3.635 -2.8697E-01  2.1907E-02
   4.793 -1.2971E+00  9.9022E-02
   6.000 -1.9216E+00  1.4669E-01
   7.207 -1.8923E+00  1.4445E-01
   8.365 -1.2555E+00  9.5847E-02
   9.426 -3.1783E-01  2.4263E-02
  10.347  5.7413E-01 -4.3829E-02
  11.089  1.2175E+00 -9.2947E-02
  11.624  1.5856E+00 -1.2104E-01
  11.928  1.7480E+00 -1.3344E-01
 External wave functions
  11.928  1.7480E+00 -1.3344E-01
  12.128  1.8337E+00 -1.3998E-01
  12.328  1.9017E+00 -1.4517E-01
  12.528  1.9514E+00 -1.4897E-01
  12.728  1.9823E+00 -1.5133E-01
  12.928  1.9941E+00 -1.5223E-01
  13.128  1.9866E+00 -1.5166E-01
  13.328  1.9601E+00 -1.4963E-01
  13.528  1.9146E+00 -1.4616E-01
  13.728  1.8507E+00 -1.4128E-01
  13.928  1.7689E+00 -1.3504E-01
  14.128  1.6701E+00 -1.2750E-01
